Date,Theater Name,Showtime,Checkout URL
4/3,Regal Union Square,8:15am,https://www.regmovies.com/movies/our-hero-balthazar-ho00020753?id=291312&site=1320&date=04-03-2026
4/3,Regal Union Square,9:35pm,https://www.regmovies.com/movies/our-hero-balthazar-ho00020753?id=291630&site=1320&date=04-03-2026
4/3,Regal Union Square,12:10am,https://www.regmovies.com/movies/our-hero-balthazar-ho00020753?id=291274&site=1320&date=04-03-2026
4/4,Regal Union Square,8:20am,https://www.regmovies.com/movies/our-hero-balthazar-ho00020753?id=291434&site=1320&date=04-04-2026
4/4,Regal Union Square,7:35pm,https://www.regmovies.com/movies/our-hero-balthazar-ho00020753?id=291631&site=1320&date=04-04-2026
4/4,Regal Union Square,12:55am,https://www.regmovies.com/movies/our-hero-balthazar-ho00020753?id=291420&site=1320&date=04-04-2026
4/5,Regal Union Square,8:15am,https://www.regmovies.com/movies/our-hero-balthazar-ho00020753?id=291482&site=1320&date=04-05-2026
4/5,Regal Union Square,11:50pm,https://www.regmovies.com/movies/our-hero-balthazar-ho00020753?id=291456&site=1320&date=04-05-2026
4/6,Regal Union Square,11:30pm,https://www.regmovies.com/movies/our-hero-balthazar-ho00020753?id=291544&site=1320&date=04-06-2026
4/7,Regal Union Square,11:30pm,https://www.regmovies.com/movies/our-hero-balthazar-ho00020753?id=291339&site=1320&date=04-07-2026
4/8,Regal Union Square,10:30pm,https://www.regmovies.com/movies/our-hero-balthazar-ho00020753?id=291506&site=1320&date=04-08-2026
4/6,AMC Burbank Town Center 8,1:30pm,https://www.amctheatres.com/showtimes/142008072/seats
4/7,AMC Burbank Town Center 8,1:30pm,https://www.amctheatres.com/showtimes/142008071/seats
4/8,AMC Burbank Town Center 8,1:30pm,https://www.amctheatres.com/showtimes/142008068/seats

